Questions,Answers
My program is too slow. How do I speed it up?,"That’s a tough one, in general.  First, here are a list of things to
remember before diving further:
Performance characteristics vary across Python implementations.  This FAQ
focuses on CPython.
Behaviour can vary across operating systems, especially when talking about
I/O or multi-threading.
You should always find the hot spots in your program before attempting to
optimize any code (see the profile module).
Writing benchmark scripts will allow you to iterate quickly when searching
for improvements (see the timeit module).
It is highly recommended to have good code coverage (through unit testing
or any other technique) before potentially introducing regressions hidden
in sophisticated optimizations.
That being said, there are many tricks to speed up Python code.  Here are
some general principles which go a long way towards reaching acceptable
performance levels:
Making your algorithms faster (or changing to faster ones) can yield
much larger benefits than trying to sprinkle micro-optimization tricks
all over your code.
Use the right data structures.  Study documentation for the Built-in Types
and the collections module.
When the standard library provides a primitive for doing something, it is
likely (although not guaranteed) to be faster than any alternative you
may come up with.  This is doubly true for primitives written in C, such
as builtins and some extension types.  For example, be sure to use
either the list.sort() built-in method or the related sorted()
function to do sorting (and see the Sorting Techniques for examples
of moderately advanced usage).
Abstractions tend to create indirections and force the interpreter to work
more.  If the levels of indirection outweigh the amount of useful work
done, your program will be slower.  You should avoid excessive abstraction,
especially under the form of tiny functions or methods (which are also often
detrimental to readability).
If you have reached the limit of what pure Python can allow, there are tools
to take you further away.  For example, Cython can
compile a slightly modified version of Python code into a C extension, and
can be used on many different platforms.  Cython can take advantage of
compilation (and optional type annotations) to make your code significantly
faster than when interpreted.  If you are confident in your C programming
skills, you can also write a C extension module
yourself.
See also
The wiki page devoted to performance tips.
str and bytes objects are immutable, therefore concatenating
many strings together is inefficient as each concatenation creates a new
object.  In the general case, the total runtime cost is quadratic in the
total string length.
To accumulate many str objects, the recommended idiom is to place
them into a list and call str.join() at the end:
(another reasonably efficient idiom is to use io.StringIO)
To accumulate many bytes objects, the recommended idiom is to extend
a bytearray object using in-place concatenation (the += operator):"
My program is too slow. How do I speed it up?,"That’s a tough one, in general.  First, here are a list of things to
remember before diving further:
Performance characteristics vary across Python implementations.  This FAQ
focuses on CPython.
Behaviour can vary across operating systems, especially when talking about
I/O or multi-threading.
You should always find the hot spots in your program before attempting to
optimize any code (see the profile module).
Writing benchmark scripts will allow you to iterate quickly when searching
for improvements (see the timeit module).
It is highly recommended to have good code coverage (through unit testing
or any other technique) before potentially introducing regressions hidden
in sophisticated optimizations.
That being said, there are many tricks to speed up Python code.  Here are
some general principles which go a long way towards reaching acceptable
performance levels:
Making your algorithms faster (or changing to faster ones) can yield
much larger benefits than trying to sprinkle micro-optimization tricks
all over your code.
Use the right data structures.  Study documentation for the Built-in Types
and the collections module.
When the standard library provides a primitive for doing something, it is
likely (although not guaranteed) to be faster than any alternative you
may come up with.  This is doubly true for primitives written in C, such
as builtins and some extension types.  For example, be sure to use
either the list.sort() built-in method or the related sorted()
function to do sorting (and see the Sorting Techniques for examples
of moderately advanced usage).
Abstractions tend to create indirections and force the interpreter to work
more.  If the levels of indirection outweigh the amount of useful work
done, your program will be slower.  You should avoid excessive abstraction,
especially under the form of tiny functions or methods (which are also often
detrimental to readability).
If you have reached the limit of what pure Python can allow, there are tools
to take you further away.  For example, Cython can
compile a slightly modified version of Python code into a C extension, and
can be used on many different platforms.  Cython can take advantage of
compilation (and optional type annotations) to make your code significantly
faster than when interpreted.  If you are confident in your C programming
skills, you can also write a C extension module
yourself.
See also
The wiki page devoted to performance tips."
What is the most efficient way to concatenate many strings together?,"str and bytes objects are immutable, therefore concatenating
many strings together is inefficient as each concatenation creates a new
object.  In the general case, the total runtime cost is quadratic in the
total string length.
To accumulate many str objects, the recommended idiom is to place
them into a list and call str.join() at the end:
(another reasonably efficient idiom is to use io.StringIO)
To accumulate many bytes objects, the recommended idiom is to extend
a bytearray object using in-place concatenation (the += operator):"
How do I convert between tuples and lists?,"The type constructor tuple(seq) converts any sequence (actually, any
iterable) into a tuple with the same items in the same order.
For example, tuple([1, 2, 3]) yields (1, 2, 3) and tuple('abc')
yields ('a', 'b', 'c').  If the argument is a tuple, it does not make a copy
but returns the same object, so it is cheap to call tuple() when you
aren’t sure that an object is already a tuple.
The type constructor list(seq) converts any sequence or iterable into a list
with the same items in the same order.  For example, list((1, 2, 3)) yields
[1, 2, 3] and list('abc') yields ['a', 'b', 'c'].  If the argument
is a list, it makes a copy just like seq[:] would.
Python sequences are indexed with positive numbers and negative numbers.  For
positive numbers 0 is the first index 1 is the second index and so forth.  For
negative indices -1 is the last index and -2 is the penultimate (next to last)
index and so forth.  Think of seq[-n] as the same as seq[len(seq)-n].
Using negative indices can be very convenient.  For example S[:-1] is all of
the string except for its last character, which is useful for removing the
trailing newline from a string.
Use the reversed() built-in function:
This won’t touch your original sequence, but build a new copy with reversed
order to iterate over.
See the Python Cookbook for a long discussion of many ways to do this:
https://code.activestate.com/recipes/52560/
If you don’t mind reordering the list, sort it and then scan from the end of the
list, deleting duplicates as you go:
If all elements of the list may be used as set keys (i.e. they are all
hashable) this is often faster
This converts the list into a set, thereby removing duplicates, and then back
into a list.
As with removing duplicates, explicitly iterating in reverse with a
delete condition is one possibility.  However, it is easier and faster
to use slice replacement with an implicit or explicit forward iteration.
Here are three variations.:
The list comprehension may be fastest.
Use a list:
Lists are equivalent to C or Pascal arrays in their time complexity; the primary
difference is that a Python list can contain objects of many different types.
The array module also provides methods for creating arrays of fixed types
with compact representations, but they are slower to index than lists.  Also
note that NumPy
and other third party packages define array-like structures with
various characteristics as well.
To get Lisp-style linked lists, you can emulate cons cells using tuples:
If mutability is desired, you could use lists instead of tuples.  Here the
analogue of a Lisp car is lisp_list[0] and the analogue of cdr is
lisp_list[1].  Only do this if you’re sure you really need to, because it’s
usually a lot slower than using Python lists.
You probably tried to make a multidimensional array like this:
This looks correct if you print it:
But when you assign a value, it shows up in multiple places:
The reason is that replicating a list with * doesn’t create copies, it only
creates references to the existing objects.  The *3 creates a list
containing 3 references to the same list of length two.  Changes to one row will
show in all rows, which is almost certainly not what you want.
The suggested approach is to create a list of the desired length first and then
fill in each element with a newly created list:
This generates a list containing 3 different lists of length two.  You can also
use a list comprehension:
Or, you can use an extension that provides a matrix datatype; NumPy is the best known.
To call a method or function and accumulate the return values is a list,
a list comprehension is an elegant solution:
To just run the method or function without saving the return values,
a plain for loop will suffice:
This is because of a combination of the fact that augmented assignment
operators are assignment operators, and the difference between mutable and
immutable objects in Python.
This discussion applies in general when augmented assignment operators are
applied to elements of a tuple that point to mutable objects, but we’ll use
a list and += as our exemplar.
If you wrote:
The reason for the exception should be immediately clear: 1 is added to the
object a_tuple[0] points to (1), producing the result object, 2,
but when we attempt to assign the result of the computation, 2, to element
0 of the tuple, we get an error because we can’t change what an element of
a tuple points to.
Under the covers, what this augmented assignment statement is doing is
approximately this:
It is the assignment part of the operation that produces the error, since a
tuple is immutable.
When you write something like:
The exception is a bit more surprising, and even more surprising is the fact
that even though there was an error, the append worked:
To see why this happens, you need to know that (a) if an object implements an
__iadd__() magic method, it gets called when the += augmented
assignment
is executed, and its return value is what gets used in the assignment statement;
and (b) for lists, __iadd__() is equivalent to calling extend() on the list
and returning the list.  That’s why we say that for lists, += is a
“shorthand” for list.extend():
This is equivalent to:
The object pointed to by a_list has been mutated, and the pointer to the
mutated object is assigned back to a_list.  The end result of the
assignment is a no-op, since it is a pointer to the same object that a_list
was previously pointing to, but the assignment still happens.
Thus, in our tuple example what is happening is equivalent to:
The __iadd__() succeeds, and thus the list is extended, but even though
result points to the same object that a_tuple[0] already points to,
that final assignment still results in an error, because tuples are immutable.
The technique, attributed to Randal Schwartz of the Perl community, sorts the
elements of a list by a metric which maps each element to its “sort value”. In
Python, use the key argument for the list.sort() method:
Merge them into an iterator of tuples, sort the resulting list, and then pick
out the element you want."
How do I convert between tuples and lists?,"The type constructor tuple(seq) converts any sequence (actually, any
iterable) into a tuple with the same items in the same order.
For example, tuple([1, 2, 3]) yields (1, 2, 3) and tuple('abc')
yields ('a', 'b', 'c').  If the argument is a tuple, it does not make a copy
but returns the same object, so it is cheap to call tuple() when you
aren’t sure that an object is already a tuple.
The type constructor list(seq) converts any sequence or iterable into a list
with the same items in the same order.  For example, list((1, 2, 3)) yields
[1, 2, 3] and list('abc') yields ['a', 'b', 'c'].  If the argument
is a list, it makes a copy just like seq[:] would."
What’s a negative index?,"Python sequences are indexed with positive numbers and negative numbers.  For
positive numbers 0 is the first index 1 is the second index and so forth.  For
negative indices -1 is the last index and -2 is the penultimate (next to last)
index and so forth.  Think of seq[-n] as the same as seq[len(seq)-n].
Using negative indices can be very convenient.  For example S[:-1] is all of
the string except for its last character, which is useful for removing the
trailing newline from a string."
How do I iterate over a sequence in reverse order?,"Use the reversed() built-in function:
This won’t touch your original sequence, but build a new copy with reversed
order to iterate over."
How do you remove duplicates from a list?,"See the Python Cookbook for a long discussion of many ways to do this:
https://code.activestate.com/recipes/52560/
If you don’t mind reordering the list, sort it and then scan from the end of the
list, deleting duplicates as you go:
If all elements of the list may be used as set keys (i.e. they are all
hashable) this is often faster
This converts the list into a set, thereby removing duplicates, and then back
into a list."
How do you remove multiple items from a list,"As with removing duplicates, explicitly iterating in reverse with a
delete condition is one possibility.  However, it is easier and faster
to use slice replacement with an implicit or explicit forward iteration.
Here are three variations.:
The list comprehension may be fastest."
How do you make an array in Python?,"Use a list:
Lists are equivalent to C or Pascal arrays in their time complexity; the primary
difference is that a Python list can contain objects of many different types.
The array module also provides methods for creating arrays of fixed types
with compact representations, but they are slower to index than lists.  Also
note that NumPy
and other third party packages define array-like structures with
various characteristics as well.
To get Lisp-style linked lists, you can emulate cons cells using tuples:
If mutability is desired, you could use lists instead of tuples.  Here the
analogue of a Lisp car is lisp_list[0] and the analogue of cdr is
lisp_list[1].  Only do this if you’re sure you really need to, because it’s
usually a lot slower than using Python lists."
How do I create a multidimensional list?,"You probably tried to make a multidimensional array like this:
This looks correct if you print it:
But when you assign a value, it shows up in multiple places:
The reason is that replicating a list with * doesn’t create copies, it only
creates references to the existing objects.  The *3 creates a list
containing 3 references to the same list of length two.  Changes to one row will
show in all rows, which is almost certainly not what you want.
The suggested approach is to create a list of the desired length first and then
fill in each element with a newly created list:
This generates a list containing 3 different lists of length two.  You can also
use a list comprehension:
Or, you can use an extension that provides a matrix datatype; NumPy is the best known."
How do I apply a method or function to a sequence of objects?,"To call a method or function and accumulate the return values is a list,
a list comprehension is an elegant solution:
To just run the method or function without saving the return values,
a plain for loop will suffice:"
Why does a_tuple[i] += [‘item’] raise an exception when the addition works?,"This is because of a combination of the fact that augmented assignment
operators are assignment operators, and the difference between mutable and
immutable objects in Python.
This discussion applies in general when augmented assignment operators are
applied to elements of a tuple that point to mutable objects, but we’ll use
a list and += as our exemplar.
If you wrote:
The reason for the exception should be immediately clear: 1 is added to the
object a_tuple[0] points to (1), producing the result object, 2,
but when we attempt to assign the result of the computation, 2, to element
0 of the tuple, we get an error because we can’t change what an element of
a tuple points to.
Under the covers, what this augmented assignment statement is doing is
approximately this:
It is the assignment part of the operation that produces the error, since a
tuple is immutable.
When you write something like:
The exception is a bit more surprising, and even more surprising is the fact
that even though there was an error, the append worked:
To see why this happens, you need to know that (a) if an object implements an
__iadd__() magic method, it gets called when the += augmented
assignment
is executed, and its return value is what gets used in the assignment statement;
and (b) for lists, __iadd__() is equivalent to calling extend() on the list
and returning the list.  That’s why we say that for lists, += is a
“shorthand” for list.extend():
This is equivalent to:
The object pointed to by a_list has been mutated, and the pointer to the
mutated object is assigned back to a_list.  The end result of the
assignment is a no-op, since it is a pointer to the same object that a_list
was previously pointing to, but the assignment still happens.
Thus, in our tuple example what is happening is equivalent to:
The __iadd__() succeeds, and thus the list is extended, but even though
result points to the same object that a_tuple[0] already points to,
that final assignment still results in an error, because tuples are immutable."
I want to do a complicated sort: can you do a Schwartzian Transform in Python?,"The technique, attributed to Randal Schwartz of the Perl community, sorts the
elements of a list by a metric which maps each element to its “sort value”. In
Python, use the key argument for the list.sort() method:"
How can I sort one list by values from another list?,"Merge them into an iterator of tuples, sort the resulting list, and then pick
out the element you want."
What is a class?,"A class is the particular object type created by executing a class statement.
Class objects are used as templates to create instance objects, which embody
both the data (attributes) and code (methods) specific to a datatype.
A class can be based on one or more other classes, called its base class(es). It
then inherits the attributes and methods of its base classes. This allows an
object model to be successively refined by inheritance.  You might have a
generic Mailbox class that provides basic accessor methods for a mailbox,
and subclasses such as MboxMailbox, MaildirMailbox, OutlookMailbox
that handle various specific mailbox formats.
A method is a function on some object x that you normally call as
x.name(arguments...).  Methods are defined as functions inside the class
definition:
Self is merely a conventional name for the first argument of a method.  A method
defined as meth(self, a, b, c) should be called as x.meth(a, b, c) for
some instance x of the class in which the definition occurs; the called
method will think it is called as meth(x, a, b, c).
See also Why must ‘self’ be used explicitly in method definitions and calls?.
Use the built-in function isinstance(obj, cls).  You can
check if an object
is an instance of any of a number of classes by providing a tuple instead of a
single class, e.g. isinstance(obj, (class1, class2, ...)), and can also
check whether an object is one of Python’s built-in types, e.g.
isinstance(obj, str) or isinstance(obj, (int, float, complex)).
Note that isinstance() also checks for virtual inheritance from an
abstract base class.  So, the test will return True for a
registered class even if hasn’t directly or indirectly inherited from it.  To
test for “true inheritance”, scan the MRO of the class:
Note that most programs do not use isinstance() on user-defined classes
very often.  If you are developing the classes yourself, a more proper
object-oriented style is to define methods on the classes that encapsulate a
particular behaviour, instead of checking the object’s class and doing a
different thing based on what class it is.  For example, if you have a function
that does something:
A better approach is to define a search() method on all the classes and just
call it:
Delegation is an object oriented technique (also called a design pattern).
Let’s say you have an object x and want to change the behaviour of just one
of its methods.  You can create a new class that provides a new implementation
of the method you’re interested in changing and delegates all other methods to
the corresponding method of x.
Python programmers can easily implement delegation.  For example, the following
class implements a class that behaves like a file but converts all written data
to uppercase:
Here the UpperOut class redefines the write() method to convert the
argument string to uppercase before calling the underlying
self._outfile.write() method.  All other methods are delegated to the
underlying self._outfile object.  The delegation is accomplished via the
__getattr__() method; consult the language reference
for more information about controlling attribute access.
Note that for more general cases delegation can get trickier. When attributes
must be set as well as retrieved, the class must define a __setattr__()
method too, and it must do so carefully.  The basic implementation of
__setattr__() is roughly equivalent to the following:
Most __setattr__() implementations must modify
self.__dict__ to store
local state for self without causing an infinite recursion.
Use the built-in super() function:
In the example, super() will automatically determine the instance from
which it was called (the self value), look up the method resolution
order (MRO) with type(self).__mro__, and return the next in line after
Derived in the MRO: Base.
You could assign the base class to an alias and derive from the alias.  Then all
you have to change is the value assigned to the alias.  Incidentally, this trick
is also handy if you want to decide dynamically (e.g. depending on availability
of resources) which base class to use.  Example:
Both static data and static methods (in the sense of C++ or Java) are supported
in Python.
For static data, simply define a class attribute.  To assign a new value to the
attribute, you have to explicitly use the class name in the assignment:
c.count also refers to C.count for any c such that isinstance(c,
C) holds, unless overridden by c itself or by some class on the base-class
search path from c.__class__ back to C.
Caution: within a method of C, an assignment like self.count = 42 creates a
new and unrelated instance named “count” in self’s own dict.  Rebinding of a
class-static data name must always specify the class whether inside a method or
not:
Static methods are possible:
However, a far more straightforward way to get the effect of a static method is
via a simple module-level function:
If your code is structured so as to define one class (or tightly related class
hierarchy) per module, this supplies the desired encapsulation.
This answer actually applies to all methods, but the question usually comes up
first in the context of constructors.
In C++ you’d write
In Python you have to write a single constructor that catches all cases using
default arguments.  For example:
This is not entirely equivalent, but close enough in practice.
You could also try a variable-length argument list, e.g.
The same approach works for all method definitions.
Variable names with double leading underscores are “mangled” to provide a simple
but effective way to define class private variables.  Any identifier of the form
__spam (at least two leading underscores, at most one trailing underscore)
is textually replaced with _classname__spam, where classname is the
current class name with any leading underscores stripped.
This doesn’t guarantee privacy: an outside user can still deliberately access
the “_classname__spam” attribute, and private values are visible in the object’s
__dict__.  Many Python programmers never bother to use private variable
names at all.
There are several possible reasons for this.
The del statement does not necessarily call __del__() – it simply
decrements the object’s reference count, and if this reaches zero
__del__() is called.
If your data structures contain circular links (e.g. a tree where each child has
a parent reference and each parent has a list of children) the reference counts
will never go back to zero.  Once in a while Python runs an algorithm to detect
such cycles, but the garbage collector might run some time after the last
reference to your data structure vanishes, so your __del__() method may be
called at an inconvenient and random time. This is inconvenient if you’re trying
to reproduce a problem. Worse, the order in which object’s __del__()
methods are executed is arbitrary.  You can run gc.collect() to force a
collection, but there are pathological cases where objects will never be
collected.
Despite the cycle collector, it’s still a good idea to define an explicit
close() method on objects to be called whenever you’re done with them.  The
close() method can then remove attributes that refer to subobjects.  Don’t
call __del__() directly – __del__() should call close() and
close() should make sure that it can be called more than once for the same
object.
Another way to avoid cyclical references is to use the weakref module,
which allows you to point to objects without incrementing their reference count.
Tree data structures, for instance, should use weak references for their parent
and sibling references (if they need them!).
Finally, if your __del__() method raises an exception, a warning message
is printed to sys.stderr.
Python does not keep track of all instances of a class (or of a built-in type).
You can program the class’s constructor to keep track of all instances by
keeping a list of weak references to each instance.
The id() builtin returns an integer that is guaranteed to be unique during
the lifetime of the object.  Since in CPython, this is the object’s memory
address, it happens frequently that after an object is deleted from memory, the
next freshly created object is allocated at the same position in memory.  This
is illustrated by this example:
The two ids belong to different integer objects that are created before, and
deleted immediately after execution of the id() call.  To be sure that
objects whose id you want to examine are still alive, create another reference
to the object:
The is operator tests for object identity.  The test a is b is
equivalent to id(a) == id(b).
The most important property of an identity test is that an object is always
identical to itself, a is a always returns True.  Identity tests are
usually faster than equality tests.  And unlike equality tests, identity tests
are guaranteed to return a boolean True or False.
However, identity tests can only be substituted for equality tests when
object identity is assured.  Generally, there are three circumstances where
identity is guaranteed:
1) Assignments create new names but do not change object identity.  After the
assignment new = old, it is guaranteed that new is old.
2) Putting an object in a container that stores object references does not
change object identity.  After the list assignment s[0] = x, it is
guaranteed that s[0] is x.
3) If an object is a singleton, it means that only one instance of that object
can exist.  After the assignments a = None and b = None, it is
guaranteed that a is b because None is a singleton.
In most other circumstances, identity tests are inadvisable and equality tests
are preferred.  In particular, identity tests should not be used to check
constants such as int and str which aren’t guaranteed to be
singletons:
Likewise, new instances of mutable containers are never identical:
In the standard library code, you will see several common patterns for
correctly using identity tests:
1) As recommended by PEP 8, an identity test is the preferred way to check
for None.  This reads like plain English in code and avoids confusion with
other objects that may have boolean values that evaluate to false.
2) Detecting optional arguments can be tricky when None is a valid input
value.  In those situations, you can create a singleton sentinel object
guaranteed to be distinct from other objects.  For example, here is how
to implement a method that behaves like dict.pop():
3) Container implementations sometimes need to augment equality tests with
identity tests.  This prevents the code from being confused by objects such as
float('NaN') that are not equal to themselves.
For example, here is the implementation of
collections.abc.Sequence.__contains__():
When subclassing an immutable type, override the __new__() method
instead of the __init__() method.  The latter only runs after an
instance is created, which is too late to alter data in an immutable
instance.
All of these immutable classes have a different signature than their
parent class:
The classes can be used like this:
The two principal tools for caching methods are
functools.cached_property() and functools.lru_cache().  The
former stores results at the instance level and the latter at the class
level.
The cached_property approach only works with methods that do not take
any arguments.  It does not create a reference to the instance.  The
cached method result will be kept only as long as the instance is alive.
The advantage is that when an instance is no longer used, the cached
method result will be released right away.  The disadvantage is that if
instances accumulate, so too will the accumulated method results.  They
can grow without bound.
The lru_cache approach works with methods that have hashable
arguments.  It creates a reference to the instance unless special
efforts are made to pass in weak references.
The advantage of the least recently used algorithm is that the cache is
bounded by the specified maxsize.  The disadvantage is that instances
are kept alive until they age out of the cache or until the cache is
cleared.
This example shows the various techniques:
The above example assumes that the station_id never changes.  If the
relevant instance attributes are mutable, the cached_property approach
can’t be made to work because it cannot detect changes to the
attributes.
To make the lru_cache approach work when the station_id is mutable,
the class needs to define the __eq__() and __hash__()
methods so that the cache can detect relevant attribute updates:"
What is a class?,"A class is the particular object type created by executing a class statement.
Class objects are used as templates to create instance objects, which embody
both the data (attributes) and code (methods) specific to a datatype.
A class can be based on one or more other classes, called its base class(es). It
then inherits the attributes and methods of its base classes. This allows an
object model to be successively refined by inheritance.  You might have a
generic Mailbox class that provides basic accessor methods for a mailbox,
and subclasses such as MboxMailbox, MaildirMailbox, OutlookMailbox
that handle various specific mailbox formats."
What is a method?,"A method is a function on some object x that you normally call as
x.name(arguments...).  Methods are defined as functions inside the class
definition:"
What is self?,"Self is merely a conventional name for the first argument of a method.  A method
defined as meth(self, a, b, c) should be called as x.meth(a, b, c) for
some instance x of the class in which the definition occurs; the called
method will think it is called as meth(x, a, b, c).
See also Why must ‘self’ be used explicitly in method definitions and calls?."
How do I check if an object is an instance of a given class or of a subclass of it?,"Use the built-in function isinstance(obj, cls).  You can
check if an object
is an instance of any of a number of classes by providing a tuple instead of a
single class, e.g. isinstance(obj, (class1, class2, ...)), and can also
check whether an object is one of Python’s built-in types, e.g.
isinstance(obj, str) or isinstance(obj, (int, float, complex)).
Note that isinstance() also checks for virtual inheritance from an
abstract base class.  So, the test will return True for a
registered class even if hasn’t directly or indirectly inherited from it.  To
test for “true inheritance”, scan the MRO of the class:
Note that most programs do not use isinstance() on user-defined classes
very often.  If you are developing the classes yourself, a more proper
object-oriented style is to define methods on the classes that encapsulate a
particular behaviour, instead of checking the object’s class and doing a
different thing based on what class it is.  For example, if you have a function
that does something:
A better approach is to define a search() method on all the classes and just
call it:"
What is delegation?,"Delegation is an object oriented technique (also called a design pattern).
Let’s say you have an object x and want to change the behaviour of just one
of its methods.  You can create a new class that provides a new implementation
of the method you’re interested in changing and delegates all other methods to
the corresponding method of x.
Python programmers can easily implement delegation.  For example, the following
class implements a class that behaves like a file but converts all written data
to uppercase:
Here the UpperOut class redefines the write() method to convert the
argument string to uppercase before calling the underlying
self._outfile.write() method.  All other methods are delegated to the
underlying self._outfile object.  The delegation is accomplished via the
__getattr__() method; consult the language reference
for more information about controlling attribute access.
Note that for more general cases delegation can get trickier. When attributes
must be set as well as retrieved, the class must define a __setattr__()
method too, and it must do so carefully.  The basic implementation of
__setattr__() is roughly equivalent to the following:
Most __setattr__() implementations must modify
self.__dict__ to store
local state for self without causing an infinite recursion."
How do I call a method defined in a base class from a derived class that extends it?,"Use the built-in super() function:
In the example, super() will automatically determine the instance from
which it was called (the self value), look up the method resolution
order (MRO) with type(self).__mro__, and return the next in line after
Derived in the MRO: Base."
How can I organize my code to make it easier to change the base class?,"You could assign the base class to an alias and derive from the alias.  Then all
you have to change is the value assigned to the alias.  Incidentally, this trick
is also handy if you want to decide dynamically (e.g. depending on availability
of resources) which base class to use.  Example:"
How do I create static class data and static class methods?,"Both static data and static methods (in the sense of C++ or Java) are supported
in Python.
For static data, simply define a class attribute.  To assign a new value to the
attribute, you have to explicitly use the class name in the assignment:
c.count also refers to C.count for any c such that isinstance(c,
C) holds, unless overridden by c itself or by some class on the base-class
search path from c.__class__ back to C.
Caution: within a method of C, an assignment like self.count = 42 creates a
new and unrelated instance named “count” in self’s own dict.  Rebinding of a
class-static data name must always specify the class whether inside a method or
not:
Static methods are possible:
However, a far more straightforward way to get the effect of a static method is
via a simple module-level function:
If your code is structured so as to define one class (or tightly related class
hierarchy) per module, this supplies the desired encapsulation."
How can I overload constructors (or methods) in Python?,"This answer actually applies to all methods, but the question usually comes up
first in the context of constructors.
In C++ you’d write
In Python you have to write a single constructor that catches all cases using
default arguments.  For example:
This is not entirely equivalent, but close enough in practice.
You could also try a variable-length argument list, e.g.
The same approach works for all method definitions."
I try to use __spam and I get an error about _SomeClassName__spam.,"Variable names with double leading underscores are “mangled” to provide a simple
but effective way to define class private variables.  Any identifier of the form
__spam (at least two leading underscores, at most one trailing underscore)
is textually replaced with _classname__spam, where classname is the
current class name with any leading underscores stripped.
This doesn’t guarantee privacy: an outside user can still deliberately access
the “_classname__spam” attribute, and private values are visible in the object’s
__dict__.  Many Python programmers never bother to use private variable
names at all."
My class defines __del__ but it is not called when I delete the object.,"There are several possible reasons for this.
The del statement does not necessarily call __del__() – it simply
decrements the object’s reference count, and if this reaches zero
__del__() is called.
If your data structures contain circular links (e.g. a tree where each child has
a parent reference and each parent has a list of children) the reference counts
will never go back to zero.  Once in a while Python runs an algorithm to detect
such cycles, but the garbage collector might run some time after the last
reference to your data structure vanishes, so your __del__() method may be
called at an inconvenient and random time. This is inconvenient if you’re trying
to reproduce a problem. Worse, the order in which object’s __del__()
methods are executed is arbitrary.  You can run gc.collect() to force a
collection, but there are pathological cases where objects will never be
collected.
Despite the cycle collector, it’s still a good idea to define an explicit
close() method on objects to be called whenever you’re done with them.  The
close() method can then remove attributes that refer to subobjects.  Don’t
call __del__() directly – __del__() should call close() and
close() should make sure that it can be called more than once for the same
object.
Another way to avoid cyclical references is to use the weakref module,
which allows you to point to objects without incrementing their reference count.
Tree data structures, for instance, should use weak references for their parent
and sibling references (if they need them!).
Finally, if your __del__() method raises an exception, a warning message
is printed to sys.stderr."
How do I get a list of all instances of a given class?,"Python does not keep track of all instances of a class (or of a built-in type).
You can program the class’s constructor to keep track of all instances by
keeping a list of weak references to each instance."
Why does the result of id() appear to be not unique?,"The id() builtin returns an integer that is guaranteed to be unique during
the lifetime of the object.  Since in CPython, this is the object’s memory
address, it happens frequently that after an object is deleted from memory, the
next freshly created object is allocated at the same position in memory.  This
is illustrated by this example:
The two ids belong to different integer objects that are created before, and
deleted immediately after execution of the id() call.  To be sure that
objects whose id you want to examine are still alive, create another reference
to the object:"
When can I rely on identity tests with the is operator?,"The is operator tests for object identity.  The test a is b is
equivalent to id(a) == id(b).
The most important property of an identity test is that an object is always
identical to itself, a is a always returns True.  Identity tests are
usually faster than equality tests.  And unlike equality tests, identity tests
are guaranteed to return a boolean True or False.
However, identity tests can only be substituted for equality tests when
object identity is assured.  Generally, there are three circumstances where
identity is guaranteed:
1) Assignments create new names but do not change object identity.  After the
assignment new = old, it is guaranteed that new is old.
2) Putting an object in a container that stores object references does not
change object identity.  After the list assignment s[0] = x, it is
guaranteed that s[0] is x.
3) If an object is a singleton, it means that only one instance of that object
can exist.  After the assignments a = None and b = None, it is
guaranteed that a is b because None is a singleton.
In most other circumstances, identity tests are inadvisable and equality tests
are preferred.  In particular, identity tests should not be used to check
constants such as int and str which aren’t guaranteed to be
singletons:
Likewise, new instances of mutable containers are never identical:
In the standard library code, you will see several common patterns for
correctly using identity tests:
1) As recommended by PEP 8, an identity test is the preferred way to check
for None.  This reads like plain English in code and avoids confusion with
other objects that may have boolean values that evaluate to false.
2) Detecting optional arguments can be tricky when None is a valid input
value.  In those situations, you can create a singleton sentinel object
guaranteed to be distinct from other objects.  For example, here is how
to implement a method that behaves like dict.pop():
3) Container implementations sometimes need to augment equality tests with
identity tests.  This prevents the code from being confused by objects such as
float('NaN') that are not equal to themselves.
For example, here is the implementation of
collections.abc.Sequence.__contains__():"
How can a subclass control what data is stored in an immutable instance?,"When subclassing an immutable type, override the __new__() method
instead of the __init__() method.  The latter only runs after an
instance is created, which is too late to alter data in an immutable
instance.
All of these immutable classes have a different signature than their
parent class:
The classes can be used like this:"
How do I cache method calls?,"The two principal tools for caching methods are
functools.cached_property() and functools.lru_cache().  The
former stores results at the instance level and the latter at the class
level.
The cached_property approach only works with methods that do not take
any arguments.  It does not create a reference to the instance.  The
cached method result will be kept only as long as the instance is alive.
The advantage is that when an instance is no longer used, the cached
method result will be released right away.  The disadvantage is that if
instances accumulate, so too will the accumulated method results.  They
can grow without bound.
The lru_cache approach works with methods that have hashable
arguments.  It creates a reference to the instance unless special
efforts are made to pass in weak references.
The advantage of the least recently used algorithm is that the cache is
bounded by the specified maxsize.  The disadvantage is that instances
are kept alive until they age out of the cache or until the cache is
cleared.
This example shows the various techniques:
The above example assumes that the station_id never changes.  If the
relevant instance attributes are mutable, the cached_property approach
can’t be made to work because it cannot detect changes to the
attributes.
To make the lru_cache approach work when the station_id is mutable,
the class needs to define the __eq__() and __hash__()
methods so that the cache can detect relevant attribute updates:"
